config_tag,marker,class,hemisphere,region,n_slices,mean_density,sd_density,min_density,max_density,cv,total_count
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: BMA,3,0.0,0.0,0.0,0.0,,0
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: BMAa,3,3776.271,335.2345611717263,3408.341,4064.413,0.08877396806842683,2273
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: BS,5,1666.8066,924.9283031985776,539.634,3024.312,0.5549103916426643,57455
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: BST,2,2334.564,3301.572071027982,0.0,4669.128,1.414213562373095,2548
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: CA,5,2696.7692,249.27455073512817,2382.027,2990.702,0.09243451413459045,21871
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: CA1,5,2573.6241999999997,239.13325897749988,2263.151,2773.816,0.09291692974347222,13302
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: CA2,5,2596.589,215.51481378782304,2352.282,2900.15,0.08299920156321353,655
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: CA3,5,2940.6312000000003,262.73323779301296,2667.885,3361.939,0.08934586485820219,7914
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: CEA,3,3849.1763333333333,45.17319061493564,3803.291,3893.602,0.01173580701505984,7189
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: CEAc,3,3932.817333333334,170.022598466596,3750.628,4087.26,0.043231755776078754,1946
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: CEAl,3,3829.7636666666663,140.93974369330087,3723.254,3989.582,0.03680115953890476,1468
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: CEAm,3,3812.1316666666667,156.52857257808648,3641.835,3949.725,0.041060641726196015,3775
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: CH,5,2338.0638,1126.3493558087118,749.319,3350.119,0.48174449123617236,205946
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: CL,3,2544.8513333333335,2233.81111077041,0.0,4181.572,0.87777666282945,683
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: CLA,2,3845.48,358.7647675706185,3591.795,4099.165,0.09329518488475262,475
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: CM,3,4032.801333333333,719.9157568565461,3252.747,4671.656,0.17851505624788513,961
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: CNU,5,3442.3949999999995,1100.651442883259,1476.99,4006.346,0.31973420914312833,79222
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: COA,3,0.0,0.0,0.0,0.0,,0
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: COAa,3,3470.095333333333,479.30493149177323,3049.74,3992.057,0.13812442755898538,1744
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: CP,5,0.0,0.0,0.0,0.0,,0
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: CTX,5,3288.1413999999995,136.3085437135178,3200.814,3530.381,0.04145458699358787,209896
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: CTXpl,5,3432.8142,137.3444813223306,3228.621,3574.601,0.04000929654810057,207893
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: CTXsp,5,3212.8984,899.550483464269,1632.181,3782.057,0.2799809926962735,11723
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: DG,5,2829.2914,102.40442617045414,2705.89,2952.792,0.03619437226241671,9217
