slice,config_tag,region,hemisphere,is_leaf,marker,class,count,density
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: GU4","Right",true,TdT,TdT+,0,0.000
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: MEZ","Left",true,DAPI,DAPI+,67,5892.411
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: MEZ","Left",true,TdT,TdT+,7,615.625
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: SSp-bfd1","Left",true,DAPI,DAPI+,303,2284.420
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: SSp-bfd1","Left",true,TdT,TdT+,12,90.472
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: mct","Left",true,DAPI,DAPI+,7,3936.649
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: mct","Left",true,TdT,TdT+,0,0.000
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: CTXpl","Right",false,DAPI,DAPI+,39311,3546.433
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: CTXpl","Right",false,TdT,TdT+,1391,125.489
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: SSs4","Right",true,DAPI,DAPI+,1432,4639.910
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: SSs4","Right",true,TdT,TdT+,18,58.323
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: ccb","Right",false,DAPI,DAPI+,1329,4409.357
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: ccb","Right",false,TdT,TdT+,21,69.674
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: VISC4","Left",true,DAPI,DAPI+,221,3315.096
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: VISC4","Left",true,TdT,TdT+,4,60.002
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: VISa6b","Left",true,DAPI,DAPI+,131,4712.360
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: VISa6b","Left",true,TdT,TdT+,5,179.861
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: AI","Left",false,DAPI,DAPI+,1715,2912.613
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: AI","Left",false,TdT,TdT+,117,198.703
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: SSp-bfd5","Right",true,DAPI,DAPI+,1512,4010.187
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: SSp-bfd5","Right",true,TdT,TdT+,45,119.351
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: PVpo","Right",true,DAPI,DAPI+,180,3496.810
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: PVpo","Right",true,TdT,TdT+,26,505.095
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: IAD","Left",true,DAPI,DAPI+,362,4149.256
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: IAD","Left",true,TdT,TdT+,28,320.937
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: fa","Right",true,DAPI,DAPI+,148,4031.938
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: fa","Right",true,TdT,TdT+,6,163.457
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: SSs5","Right",true,DAPI,DAPI+,2025,3560.470
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: SSs5","Right",true,TdT,TdT+,26,45.715
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: CNU","Left",false,DAPI,DAPI+,10626,1476.990
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: CNU","Left",false,TdT,TdT+,471,65.468
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: CL","Left",true,DAPI,DAPI+,165,4403.541
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: CL","Left",true,TdT,TdT+,31,827.332
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: BS","Right",false,DAPI,DAPI+,16723,4051.879
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: BS","Right",false,TdT,TdT+,1165,282.272
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: CA3","Left",true,DAPI,DAPI+,1643,2794.577
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: CA3","Left",true,TdT,TdT+,52,88.447
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: VISrl4","Left",true,DAPI,DAPI+,134,4379.901
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: VISrl4","Left",true,TdT,TdT+,2,65.372
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: RSPd","Right",false,DAPI,DAPI+,2119,4458.585
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: RSPd","Right",false,TdT,TdT+,74,155.703
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: VISrl","Right",false,DAPI,DAPI+,737,4354.357
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: VISrl","Right",false,TdT,TdT+,33,194.971
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: cst","Right",true,DAPI,DAPI+,1690,4152.638
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: cst","Right",true,TdT,TdT+,54,132.688
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: VISrl5","Left",true,DAPI,DAPI+,91,3811.995
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: VISrl5","Left",true,TdT,TdT+,0,0.000
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: SI","Left",false,DAPI,DAPI+,4054,3647.002
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: SI","Left",false,TdT,TdT+,74,66.571
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: VISC6b","Left",true,DAPI,DAPI+,42,4346.056
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: VISC6b","Left",true,TdT,TdT+,1,103.478
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: STRd","Left",false,DAPI,DAPI+,12708,3878.402
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: STRd","Left",false,TdT,TdT+,481,146.798
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: STRv","Left",false,DAPI,DAPI+,2628,2404.679
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: STRv","Left",false,TdT,TdT+,105,96.077
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: SSp-bfd","Left",false,DAPI,DAPI+,6410,3511.609
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: SSp-bfd","Left",false,TdT,TdT+,162,88.749
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: SSs2/3","Right",true,DAPI,DAPI+,2248,3647.623
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: SSs2/3","Right",true,TdT,TdT+,37,60.037
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: CTXsp","Right",false,DAPI,DAPI+,744,3407.041
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: CTXsp","Right",false,TdT,TdT+,63,288.499
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: VISam6a","Right",true,DAPI,DAPI+,226,5053.343
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: VISam6a","Right",true,TdT,TdT+,14,313.039
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: act","Right",true,DAPI,DAPI+,500,4605.843
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: act","Right",true,TdT,TdT+,6,55.270
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: GPe","Left",true,DAPI,DAPI+,2681,4042.121
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: GPe","Left",true,TdT,TdT+,126,189.969
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: TH","Left",false,DAPI,DAPI+,682,221.034
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: TH","Left",false,TdT,TdT+,23,7.454
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: RSPv1","Left",true,DAPI,DAPI+,234,3084.756
